HeatNo,TotalIngotsWeight,PouringScrap,OtherScrap,Cr_Last_EOP,Cr_Final,E3,E6,E8,OCR12,OCR12VM,UTOPMO2,UTOPMO4,PV_E1,PV_E3,PV_E40,PV_E6,PV_E8,FeCr
86574,49440.0,1200.0,1800.0,10.14,11.45,0.0,6000.0,0.0,0.0,25000.0,7000.0,0.0,0,0,0,6000,0,1250.0
86578,43680.0,800.0,1000.0,11.08,11.42,0.0,7000.0,0.0,0.0,25000.0,5000.0,0.0,0,0,0,7000,0,0.0
86580,42660.0,1500.0,700.0,11.69,11.4,0.0,8000.0,0.0,0.0,25000.0,5000.0,0.0,0,0,0,8000,0,0.0
86588,41560.0,600.0,2000.0,12.02,11.92,0.0,8200.0,0.0,0.0,20000.0,5000.0,0.0,0,0,0,8200,0,0.0
86598,44850.0,400.0,800.0,11.69,11.95,0.0,22200.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,22200,0,0.0
86602,45980.0,1000.0,2500.0,10.08,11.25,0.0,24600.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,24600,0,650.0
86603,47380.0,800.0,1800.0,10.53,11.47,0.0,23000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,23000,0,0.0
86613,50400.0,1000.0,300.0,10.64,11.32,0.0,28000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,28000,0,300.0
86614,49440.0,800.0,600.0,10.19,11.36,0.0,25200.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,25200,0,600.0
86615,45550.0,500.0,2600.0,10.49,11.72,0.0,25000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,25000,0,760.0
86616,43680.0,800.0,1300.0,10.62,11.28,0.0,23600.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,23600,0,430.0
86626,50400.0,1000.0,300.0,11.0,11.6,0.0,28000.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,28000,0,370.0
86627,47360.0,700.0,3000.0,11.06,11.45,0.0,25600.0,0.0,0.0,10000.0,0.0,0.0,0,0,0,25600,0,420.0
